from,to,source,database
NCAM1,NCAM1,litterature,P13591 + P13591
NCAM1,FGFR1,litterature,P13591 + P11362
CD209,ICAM3,litterature,Q9NNX6 + P32942
CLEC4M,ICAM3,litterature,Q9H2X3 + P32942
SELE,CD44,litterature,P31358 + Q96LC7
CD44,SELE,litterature,P16070 + P16581
SELE,SELPLG,litterature,Q14242 + P16581
GLG1,SELE,litterature,Q92896 + P16581
SELL,SELPLG,litterature,P14151 + Q14242
SELL,PODXL,litterature,P14151 + O00592
SELP,SELPLG,litterature,P16109 + Q14242
CEACAM1,CD209,litterature,P13688 + Q9NNX6
CEACAM1,SELE,litterature,P13688 + P16581
CDH1,CDH1,litterature,P12830 + P12830
DSG1,DSC1,litterature,Q02413 + Q08554
DSG1,DSC2,litterature,Q02413 + Q02487
DSG1,DSC3,litterature,Q02413 + Q14574
DSG2,DSC1,litterature,Q14126 + Q08554
DSG2,DSC2,litterature,Q14126 + Q02487
DSG2,DSC3,litterature,Q14126 + Q14574
ESAM,ESAM,litterature,Q96AP7 + Q96AP7
CNTN1,NRCAM,JS,Q12860 + Q92823
NRCAM,CNTN1,JS,Q92823 + Q12860
EFNB1,EPHA2,JS,P98172 + P29317
EFNB1,EPHA4,JS,P98172 + P54764
EFNB1,EPHB1,litterature,P98172 + P54762
EFNB1,EPHB2,litterature,P98172 + P29323
APP,LRP10,litterature,P05067 + Q7Z4F1
APP,CD74,litterature,P05067 + P04233
APP,TNFRSF21,litterature,P05067 + O75509
SDC1,TNFRSF21,litterature,P18827 + O75509
PI16,TNFRSF21,JS,Q6UXB8 + O75509
APLP2,PIGR,JS,Q06481 + P01833
APLP2,PLXNA4,JS,Q06481 + Q9HCM2
APP,PLXNA4,JS,P05067 + Q9HCM2
CD80,NGFR,JS,P33681 + P08138
SEMA4D,CD72,litterature,Q92854 + P21854
SEMA4A,PLXND1,litterature,Q9H3S1 + Q9Y4D7
SEMA7A,PLXNC1,litterature,O75326 + O60486
SEMA4D,PLXNB2,litterature,O15031 + Q92854
SEMA4D,PLXNB3,JS,Q9ULL4 + Q92854
SEMA4C,PLXNB2,litterature,Q9C0C4 + O15031
FGFR4,TGFBR3,JS,P22455 + Q03167
TGFBR3,FGFR4,JS,Q03167 + P22455
IL1RAP,PTPRF,JS,Q9NPH3 + P10586
FLT3LG,FLT3,litterature,P49771 + P36888
JAG1,CD46,litterature,P78504 + P15529
JAG1,VASN,JS,P78504 + Q6EMK4
JAG2,VASN,JS,Q9Y219 + Q6EMK4
OLR1,SLITRK4,JS,P78380 + Q8IW52
SLITRK4,OLR1,JS,Q8IW52 + P78380
CD93,IFNGR1,JS,Q9NPY3 + P15260
