Protein,CellCondition,Cell_population,Timepoint,conditionID,condition_proteinID,Cell_proportion_raw,control_median3,Cell_proportion_norm1med3,T_statistic_all3,p_raw_all3,p_adj_all3
SIRPA,Activated,T4,4hr,Activated 4hr,Activated 4hr SIRPA,0.27633653999999996,0.2892566795,-0.044666693686498046,-4.19881737881372,0.001085719346671528,0.0300053346716495
SIRPA,Activated,T8,4hr,Activated 4hr,Activated 4hr SIRPA,0.25491127,0.2571123255,-0.00856067672259451,-1.1290674356470962,0.2796889660775803,0.5961920084354253
SIRPA,Resting,B,24hr,Resting 24hr,Resting 24hr SIRPA,0.08311389350000001,0.091134612,-0.08800957533017198,-1.3686772573854153,0.18624355780181148,0.5015994823632398
SIRPA,Resting,B_activation,24hr,Resting 24hr,Resting 24hr SIRPA,0.8102844614381843,0.7019246071266796,0.13373063346071754,2.380245370961944,0.02824217396088941,0.18267278476830595
SIRPA,Resting,ConvB,24hr,Resting 24hr,Resting 24hr SIRPA,0.045571824999999996,0.0532931405,-0.14488385235994874,-2.4690752524059536,0.02042838471385203,0.14877913352439082
SIRPA,Resting,ConvNK,24hr,Resting 24hr,Resting 24hr SIRPA,0.059432853,0.059594602499999996,-0.0027141635855360475,0.48797953094413793,0.6320768123087068,0.8254374890725984
SIRPA,Resting,ConvT,24hr,Resting 24hr,Resting 24hr SIRPA,0.3889083895,0.39956714000000004,-0.026675743405726593,-0.785148846676616,0.44341253184136276,0.7052840271015005
SIRPA,Resting,M14,24hr,Resting 24hr,Resting 24hr SIRPA,0.1069321525,0.08572885150000001,0.19828742342019154,4.31488857659537,1.6840982210887485e-4,0.00952494621787869
SIRPA,Resting,M16,24hr,Resting 24hr,Resting 24hr SIRPA,0.0239306115,0.037002205499999996,-0.353265266850107,NA,NA,NA
SIRPA,Resting,Negs,24hr,Resting 24hr,Resting 24hr SIRPA,0.06635727250000001,0.06394903099999999,0.03629205073189255,0.9172510748483419,0.3685300725171915,0.6575679650490167
SIRPA,Resting,NK,24hr,Resting 24hr,Resting 24hr SIRPA,0.1308026515,0.1229135675,0.060312875232502484,1.9066501764758037,0.07035514852631451,0.3054477706879479
SIRPA,Resting,NK_activation,24hr,Resting 24hr,Resting 24hr SIRPA,1.1945992567498864,1.1702523121454966,0.020380846938269376,0.8792624314609637,0.39180288076007475,0.6736049904984829
SIRPA,Resting,PolarizedB,24hr,Resting 24hr,Resting 24hr SIRPA,0.0364777715,0.035920714,0.015271149445080533,0.8548215611424633,0.40505208756132727,0.6789019138174692
SIRPA,Resting,PolarizedNK,24hr,Resting 24hr,Resting 24hr SIRPA,0.07071854550000001,0.06577430249999999,0.06991437627913337,2.279413144792673,0.03215459586331418,0.1921375359694842
SIRPA,Resting,PolarizedT,24hr,Resting 24hr,Resting 24hr SIRPA,0.202608935,0.2035539045,-0.004642355067180761,-0.3668545701045075,0.71842197362987,0.870062625033564
SIRPA,Resting,T_activation,24hr,Resting 24hr,Resting 24hr SIRPA,0.523426890206476,0.5137376359297324,0.01851118935238786,-0.031396229061832544,0.9753422697191202,0.9912506479867835
SIRPA,Resting,T0,24hr,Resting 24hr,Resting 24hr SIRPA,0.065563591,0.06200615550000001,0.054259314441760784,0.8646826266224388,0.4019282444033019,0.6780397629957885
SIRPA,Resting,T4,24hr,Resting 24hr,Resting 24hr SIRPA,0.271304521,0.282257988,-0.03880657931990925,-2.036753824676505,0.06133441194095792,0.2856638540162557
SIRPA,Resting,T8,24hr,Resting 24hr,Resting 24hr SIRPA,0.2533396345,0.2518402785,0.005918363318709245,0.1612184254493939,0.8738310858054822,0.9495741278202627
SIRPA,Resting,B,4hr,Resting 4hr,Resting 4hr SIRPA,0.0828416155,0.0973823945,-0.14931630172638652,-3.738425952104014,0.0019069194768283732,0.03997955316936727
SIRPA,Resting,B_activation,4hr,Resting 4hr,Resting 4hr SIRPA,0.30717646681308164,0.28950916995562237,0.057515137929527345,1.008855686350955,0.33354290854000146,0.6303866417134305
SIRPA,Resting,ConvB,4hr,Resting 4hr,Resting 4hr SIRPA,0.06413859499999999,0.07499563849999999,-0.1447689987998435,-4.165916848147774,9.114411438390637e-4,0.027032010509958574
SIRPA,Resting,ConvNK,4hr,Resting 4hr,Resting 4hr SIRPA,0.074495331,0.076596224,-0.027428153638487537,0.0066752413845349995,0.9947674587513762,0.9980505196713476
SIRPA,Resting,ConvT,4hr,Resting 4hr,Resting 4hr SIRPA,0.4509558335,0.43374406899999995,0.03816729537882796,1.8730245918705706,0.08120661351753332,0.32405775676333204
SIRPA,Resting,M14,4hr,Resting 4hr,Resting 4hr SIRPA,0.10734550400000001,0.112513025,-0.045928202534773144,-2.296457137204048,0.03536893464521216,0.20287087041782068
SIRPA,Resting,M16,4hr,Resting 4hr,Resting 4hr SIRPA,0.017212468,0.0159794195,0.07163693782902023,NA,NA,NA
SIRPA,Resting,Negs,4hr,Resting 4hr,Resting 4hr SIRPA,0.0671482695,0.063608669,0.05271320506628976,1.0765903746637986,0.2987123767291292,0.608942581898778
SIRPA,Resting,NK,4hr,Resting 4hr,Resting 4hr SIRPA,0.127048598,0.120395395,0.05236738621861856,2.8320277196196035,0.011770168642982602,0.11039234249097087
SIRPA,Resting,NK_activation,4hr,Resting 4hr,Resting 4hr SIRPA,0.6920777250812403,0.5837468870995881,0.15652987237659713,2.086928856110828,0.059521316906366736,0.2812654608088631
