CellCondition,Timepoint,WellID,Protein,Dose,B-->B,B-->M14,M14-->M14,B-->M16,M14-->M16,M16-->M16,B-->NK,M14-->NK,M16-->NK,NK-->NK,B-->Negs,M14-->Negs,M16-->Negs,NK-->Negs,Negs-->Negs,B-->T0,M14-->T0,M16-->T0,NK-->T0,Negs-->T0,T0-->T0,B-->T4,M14-->T4,M16-->T4,NK-->T4,Negs-->T4,T0-->T4,T4-->T4,B-->T8,M14-->T8,M16-->T8,NK-->T8,Negs-->T8,T0-->T8,T4-->T8,T8-->T8
Resting,24,318,CD320,80,1.653586051,0.542964366,1.24958278,0.439435409,0.689536612,0.64083468,0.970900725,0.474361249,0.425358257,0.788531457,0.797595931,0.885593604,0.414639681,0.762147223,1.533054758,0.934556848,0.565999218,0.437256391,1.211957055,0.60047963,1.315176364,1.262726165,0.43511618,0.498915261,1.110654006,0.820868529,1.026127585,1.431347433,1.130532908,0.507137619,0.675852969,0.980597695,0.708005617,1.136405806,1.257347112,1.195399551
Resting,24,20,CD58,200,1.940655034,0.628489151,2.713188217,0.347622885,1.015850543,6.538192093,1.215757277,0.510184991,0.485484408,1.436191087,0.945601717,1.032294883,1.4577993,1.238344194,1.768221628,1.071316836,0.486204884,0.262365077,1.477481192,0.711343983,1.576704139,1.263156848,0.402120345,0.375914881,1.009335506,0.800168294,1.052311558,1.249537721,1.134726571,0.44371616,0.305982317,1.06558177,0.832331288,1.168911488,1.157588129,1.052500522
Resting,24,60,CD58,200,1.643742879,0.544856736,5.943559972,0.727558324,2.110203341,19.48305773,1.079882607,0.414101517,0.773204278,1.536177863,0.805596758,1.468685607,1.51544636,0.684910984,4.020007583,0.779667231,0.516877606,0.097335505,1.144435208,0.803419469,1.840079502,1.074919286,0.371949695,0.408477925,0.933204457,0.693856376,0.841795723,1.209942114,1.098927649,0.410491613,0.841959463,0.935879098,0.705352817,1.056743542,1.165055438,0.999552907
Resting,24,175,CD58,200,2.006578011,0.366232588,4.660369886,0.700873867,2.123815771,10.45588553,1.355242209,0.570679594,0.731571829,1.215672917,0.941307036,1.222010255,1.377968629,0.824330937,3.5884325,0.968069183,0.544888512,0.663583971,1.23501911,0.847418956,1.504327534,1.015363717,0.484372901,0.393257319,1.035122526,0.635138795,1.057475576,1.27585777,1.106736896,0.464878387,0.594862383,0.891694353,0.657446761,0.9349728,1.084725436,1.156063235
Resting,24,216,CD58,200,2.442072281,0.607896646,2.270678296,1.19719099,1.652504471,6.85946097,1.270441682,0.534060345,0.833226616,1.242670671,0.997659158,1.062586023,1.406128363,0.694355514,2.704805546,1.018505768,0.411471809,0.487810657,1.184549779,0.706257854,1.543520288,1.284545835,0.499858979,0.573391474,1.079407208,0.805591327,0.812239755,1.517404841,1.186232042,0.452309306,0.574999202,0.847244283,0.729639139,1.042722434,1.12661327,1.075456202
Resting,24,316,CD58,200,1.722203267,0.829214478,3.007880289,0.661657041,1.567402403,0.833787369,1.253518498,0.685518552,0.907215227,1.065668432,0.98147879,1.264316951,1.048144802,0.79160657,2.16088227,0.846496703,0.696274281,0.666695712,1.052553608,0.782222694,1.480803768,1.035533852,0.509085322,0.654983353,1.009339676,0.753702307,0.85273037,1.281741967,1.031254528,0.443349022,0.808600042,0.998103517,0.740579812,0.962136823,1.207573075,1.112246204
Resting,24,42,CD58,80,1.560816559,0.614623135,1.323278355,0.662556214,0.730529573,2.20500542,1.006869198,0.618395143,0.474571656,1.286687991,1.056076265,0.719504054,0.74079296,1.002835317,1.763643919,0.986825362,0.822290347,0.493861973,1.250848353,1.010869075,1.247455455,1.227427857,0.54891235,0.360745642,1.100879266,0.881641474,0.931545708,1.398078565,1.129303968,0.535136662,0.521691827,0.931199809,0.914474043,1.19279223,1.212477473,1.12200698
Resting,24,117,CD58,80,2.233790985,0.682860402,1.278170851,0.724279287,0.68860865,1.618842476,1.088493611,0.628628782,0.738918233,1.252747322,1.027104588,1.009810304,0.954146052,1.060962463,1.595210056,1.085313115,0.646838628,0.95040362,1.2022743,0.613236621,1.651593951,1.108064597,0.7139039,0.595528929,0.931982713,0.837485279,0.978958733,1.393587097,1.024476073,0.663519972,0.688457514,1.008347893,0.893695059,0.994917937,1.142940117,1.077589565
Resting,24,240,CD58,80,1.78582973,0.614125712,1.644750749,0.450578578,1.351296289,2.131583274,1.409503702,0.685359719,0.746820115,1.039501744,0.955997312,0.853450287,0.84141445,0.67382266,2.214248553,1.148341182,0.470961173,0.74291106,1.022551479,0.843106302,0.873866562,1.131467752,0.513345346,0.377434879,0.88616524,0.738165104,0.941747397,1.318957222,1.148574209,0.70009217,0.646162538,0.921236959,0.827026215,1.033891559,1.327587763,1.187127332
Resting,24,279,CD58,80,1.555803727,0.599960912,1.64637675,0.909371692,0.878542816,1.08432188,1.125694401,0.51047416,0.607213764,1.232042063,0.945986658,0.883996602,0.881235191,0.799967482,2.062613854,0.945404935,0.471789242,0.827951203,0.934803903,0.910977536,1.481357031,1.077094888,0.528305662,0.456434638,0.957458754,0.849341386,1.053873819,1.277527138,1.166884959,0.544545986,0.750743007,0.955883197,0.824358218,0.99361904,1.256806781,1.361453642
Resting,24,371,CD58,80,1.743945584,0.570439417,1.607707095,0.325885344,1.00772339,1.490761412,1.056222952,0.588920236,0.410097005,1.30902153,0.774527498,0.88884869,0.681360277,1.101902214,1.384085635,0.788741787,0.508124484,0.438483969,1.494479025,1.316989098,2.337309277,1.19301723,0.362924129,0.44628707,0.84504124,0.699352569,0.830472959,1.49055148,1.195499118,0.515295141,0.582673469,1.080389442,0.900394775,1.065030483,1.245957907,1.118954845
Resting,24,29,CD80,200,2.037535237,0.479402594,2.39716001,0.306351112,1.133046847,3.439224745,0.839745048,0.588740028,0.492085723,1.104681334,1.034178912,0.860610423,0.903009469,0.781046554,1.567736185,0.838733209,0.449947149,0.577394213,0.987352055,0.919606135,1.238943048,1.520109789,0.43864184,0.615613666,0.952194051,0.973042249,0.803152713,1.404564753,1.333005547,0.538656241,0.478200848,0.925274636,1.019230133,0.919800496,1.2224783,1.297601647
Resting,24,37,CD80,200,1.421947282,0.512171366,2.457719646,0.695590001,1.216242837,3.16659067,0.887872745,0.548137857,0.514428087,1.044641874,0.965469887,0.936257316,1.079519547,0.811101103,1.564076616,0.708242703,0.712785073,0.663803945,1.35696384,0.735464598,1.948120273,1.11552482,0.552053011,0.715222049,1.085276256,0.861171616,0.97826724,1.216879199,1.14362346,0.568472703,0.491593538,0.961003252,0.849116111,1.14043594,1.239798482,1.077254652
Resting,24,148,CD80,200,1.297843568,0.446702377,1.915595313,0.381261901,1.082613085,4.158061723,0.913328099,0.455989952,0.715134559,1.164679686,0.765901123,0.678733862,0.742485037,0.749349471,2.400596687,0.910540163,0.535305664,0.639639125,1.452130963,1.170287772,2.69212488,1.200430558,0.405370949,0.502658029,1.086811162,0.798399896,0.944763912,1.299670367,1.140303406,0.39539755,0.560291824,1.109478766,0.737572498,1.232754184,1.246141627,1.193194283
Resting,24,235,CD80,200,1.228622971,0.456136726,2.521926469,0.699369999,1.628295117,4.478657878,0.832733347,0.577257777,0.427392777,0.982898377,0.615235262,0.967844588,1.45921184,0.581055526,2.011079175,0.908303411,0.490374591,0.599459999,1.287128827,0.571289886,1.850456638,1.089336987,0.462381955,0.430392585,1.015594381,0.794626242,1.017727982,1.376627817,1.047879982,0.449070638,0.469536713,0.977613977,0.800605206,1.167899555,1.258954016,1.322406864
Resting,24,275,CD80,200,1.55944435,0.455600222,3.941397642,0.076075834,2.285480474,7.066274617,1.002382468,0.531526213,0.66922487,1.136882408,0.751344644,1.147354691,1.057399367,0.788626142,2.102192534,0.83980921100000006,0.449764764,0.733133041,1.026736759,0.746002427,1.426947215,1.195007082,0.435907535,0.445416425,1.092565676,0.789829068,0.889588671,1.360022456,1.000313438,0.445858689,0.393114334,1.130606773,0.716289917,1.021089613,1.143797985,1.133603603
Resting,24,89,CD80,80,1.444071202,0.641663723,1.486851744,0.741694077,0.561761895,2.833466962,0.8553127,0.48616552,0.627038119,1.16814729,0.577535912,0.962341338,0.999342002,0.789826861,2.014058496,0.819720089,0.696882654,0.609266949,1.066779137,0.732021621,1.116279305,1.130208348,0.599762088,0.65544610699999994,1.109380749,0.929763877,1.075794848,1.403873434,1.147800689,0.559210728,0.589711065,1.031523621,0.824097676,1.032457973,1.258015812,0.980463686
Resting,24,159,CD80,80,1.410881904,0.521861289,1.309397416,0.584238648,0.878993636,2.399551592,0.962817915,0.608881855,0.609830791,1.17073449,0.7600012,0.872931611,0.733980487,0.999436243,1.81734897,1.043101068,0.557494533,0.628703474,1.050386356,1.038470208,1.363929632,1.159712881,0.600905828,0.669373911,1.032945071,0.860274462,0.996047732,1.238926877,1.207190264,0.546855197,0.510590539,1.068988626,0.950362329,0.969547009,1.229553288,1.218886471
Resting,24,200,CD80,80,1.297794156,0.331572511,1.721332654,0.595663896,1.028229345,2.840310656,1.031558922,0.463945545,0.515957377,1.206258417,0.971398147,0.830232582,0.881339438,0.868809045,2.567036013,0.90516558,0.541830587,0.784747439,0.960454218,0.803565362,2.347725035,1.402818157,0.518192305,0.488190996,1.126967411,0.689917179,1.015164134,1.365338787,1.158854563,0.476522968,0.627361154,1.027405321,0.868953648,1.238295957,1.129135664,1.218840243
Resting,24,353,CD80,80,1.57773913,0.392601752,1.176391042,0.65820794,0.584859819,2.047268842,1.132397001,0.510239773,0.649478391,1.009602961,0.727826087,0.504441594,0.882884688,0.905616432,1.319912609,1.189892583,0.49821392,0.359052596,1.059328971,0.825820972,1.209045083,1.256143794,0.46968491,0.629144396,1.073408176,0.789691304,1.0926365,1.341085989,1.213306534,0.527065638,0.682288413,0.935373722,0.910733195,0.968681081,1.321113234,1.191062376
