Gene.names,B.memory_activated,B.memory_steady.state,B.naive_activated,B.naive_steady.state,B.plasma_steady.state,Basophil_steady.state,Eosinophil_steady.state,mDC_activated,mDC_steady.state,MO.classical_activated,MO.classical_steady.state,MO.intermediate_steady.state,MO.nonclassical_steady.state,mTregs_activated,mTregs_steady.state,Neutrophil_steady.state,NK.bright_activated,NK.bright_steady.state,NK.dim_activated,NK.dim_steady.state,nTregs_activated,nTregs_steady.state,pDC_activated,pDC_steady.state,T4.CM_activated,T4.CM_steady.state,T4.EM_activated,T4.EM_steady.state,T4.EMRA_activated,T4.EMRA_steady.state,T4.naive_activated,T4.naive_steady.state,T8.CM_activated,T8.CM_steady.state,T8.EM_activated,T8.EM_steady.state,T8.EMRA_activated,T8.EMRA_steady.state,T8.naive_activated,T8.naive_steady.state,Th1_steady.state,Th17_steady.state,Th2_steady.state,Majority.protein.IDs,Uniprot,Symbol,hclust_order
TNFSF4,4844,0,0,0,0,0,1938,503.5,0,0,3259.25,2365,2170.25,0,261.75,0,1229,650,403056.6667,3640,0,2648.25,1925.25,11275.5,0,0,0,0,0,0,0,0,0,3066.5,1217.25,0,64753.75,0,0,0,0,644.25,0,P23510;P23510-2,P23510,TNFSF4,83
SIGLEC7,0,0,0,0,4795.25,8556.5,22260.75,1826.75,28034,22677.33333,70918.5,188070.25,71970.75,1006,0,71004.75,27150.33333,46744.75,26627,166895.75,0,1550,0,320.75,0,880.5,0,989.25,0,2774.75,0,944.25,138.75,1237.5,126,3001.75,0,3676.75,0,63,2374.75,1210.75,2179,Q9Y286;Q9Y286-2,Q9Y286,SIGLEC7,84
FCGRT,0,241,327.25,87.25,0,4736.25,1237.25,9312,151051,0,64087,136037,157646.25,0,585,4755.5,0,784.5,0,0,310.6666667,483.75,2614.25,41776,0,273,0,140,0,795.5,0,451.5,0,185,0,170.25,173.5,142,0,179.25,6762.5,0,362.5,P55899;M0R0H0;M0R0A9,P55899,FCGRT,85
CD300LF,0,210.5,0,419.25,0,7796,30762.5,379.5,20299.5,43218.33333,44729.75,126370.75,164921.75,0,0,93518.5,0,2077.25,0,0,7518.666667,0,0,701.75,0,0,2093.25,0,0,0,0,0,0,0,590.5,0,0,0,0,0,0,0,0,Q8TDQ1;J3KS52;Q8TDQ1-6;Q8TDQ1-3;Q8TDQ1-4;Q8TDQ1-2;Q8TDQ1-5,Q8TDQ1,CD300LF,86
TLR1,2924.75,1120.75,0,443.75,989,151,366.5,5051,14613.5,13155.66667,9850.25,96951.25,169437.5,4751.666667,257.75,6685.5,1103.333333,1730.5,1317.666667,910.25,0,260.25,2671.75,3192.25,0,1369.25,154,0,819,0,1899,306,4194.75,193.5,2642.25,110.75,2769.75,533.5,889.25,156.75,281.25,152.75,338.75,Q15399,Q15399,TLR1,87
GP9,0,1550.25,495.75,2357.5,257.5,10783,0,215.25,4452.75,0,75357.25,85537.5,224818.25,0,0,0,257,2311.75,0,0,784.3333333,1821.25,2957.5,2988,0,0,0,0,0,3328,0,0,237,0,0,270.75,1229.25,107,0,314.75,0,241,242.5,P14770,P14770,GP9,88
SORT1,0,0,0,7.75,0,0,22390.25,753.5,9127.75,5008.666667,90536,111195.25,150218.5,0,872.25,0,0,0,107,0,0,0,688.75,2248.25,305.25,84.5,537.25,104.5,347.5,105,0,218.5,0,469.75,0,877.5,0,0,0,743.25,19.25,172,84.5,Q99523;Q99523-2,Q99523,SORT1,89
C4orf32,2630,0,11533.25,3911.25,3236.5,7064,0,7671.25,40589.25,17581.66667,34800.5,70349.5,58226.75,0,30566.25,124986.5,14660,18853.25,43460.66667,586.75,36226,9736.5,27363.25,190867.25,35662,21079.25,77295.5,19755.25,82635.75,3617.25,20586.5,17287,17370.5,12013.5,34235.75,12760,22009.75,1906.25,28826,9615.25,10792.75,30898.25,13101,Q8N8J7,Q8N8J7,C4orf32,90
FNDC3A,14743.75,3606.5,28406.75,6442.25,21573.5,115053,43817.5,35622,7719.75,19467.66667,59695,60345.25,70326.25,11864.33333,28163,161625.25,8311,19307.5,14247,11468.5,26607.33333,39407.25,35789.25,52886.5,18483.75,18721.5,44450.75,24383.5,38264.5,25498.5,9895.25,29924.5,22738,28612.75,20143.25,32140.5,9423.5,19464.25,12550.25,30298.25,19083.75,25762.25,20870.75,Q9Y2H6;Q9Y2H6-2;G5E9X3,Q9Y2H6,FNDC3A,91
SELPLG,1390.5,5193,5766,2903.25,18856.75,114581.5,54282.75,10889,37292,17954.33333,10970.25,93867.5,131100.25,28854.33333,32547.5,162239.75,15555.66667,40223.25,21177.33333,49049.75,37752.66667,27031,71455.75,120910,23595.75,15834.25,24730.5,22598.75,40490.75,39769.5,13135.5,9832.5,19899.75,15446,13779.25,37490.25,3468.25,45578,11245.25,11804.25,13107.25,16301.5,14774.75,Q14242;A0A0C4DFY0;Q14242-2,Q14242,SELPLG,92
CD55,4137.25,39145.5,1543,26561,14436,120848.5,69610,4364.5,8300.5,28283,137522.5,68055.75,100672,0,8575.75,129291.25,56919.33333,44248.75,80647.33333,3285.25,434.3333333,12014,2101.5,7965.5,2568.5,10563,1459,8116.75,26788.5,1538.25,55381.5,21895.25,13210.5,11835.75,24919.5,6852.25,9359,3804.25,81922,49335.5,13687.75,17802.75,12788.25,P08174;P08174-2;H3BLV0;B1AP13;H7BY55;P08174-4;P08174-3;P08174-5;P08174-6;P08174-7;B1AP15,P08174,CD55,93
F11R,8040,8274.25,24792.75,5310.75,11512.5,68918.25,40252.25,59036,98297.75,38306.33333,147370.5,102311.75,63725.5,3475.666667,18522,74604,29441.33333,27962.5,16715.33333,27404.75,59802.66667,19153.25,39614.75,69472.25,18085.5,50301.5,17072.25,43102,16631.5,17641.25,23838.75,27775.5,28648,41473.5,22364.25,21877.25,14954.25,23443,45437.5,35359.5,29829.25,32103,35014.5,Q9Y624;A0A087WY82;Q9Y624-2,Q9Y624,F11R,94
LY75,42546.5,18129.75,65810.75,18449,1903.25,12670,1309.5,119147.25,103819.5,3114.333333,96163,84427.5,72818,2499.666667,27979.75,51960.25,13670.33333,43063,5927.666667,18907.25,17315.33333,10871.25,12530.5,29946,14796,25426.5,14610,29546.25,18133,12708.75,4434,11506.75,21083,16493.5,14052.75,20564,10690.25,20174,8530.5,7947.25,15313.5,22581.25,19703.5,O60449;O60449-2;O60449-3,O60449,LY75,95
TMED1,37999.25,16069,42315.5,10934.75,6722.5,37781,14349.5,45050.5,73119.5,58766,81093.25,154136,182038.5,13171.66667,33676.25,150486.25,47896.66667,109692.5,47794.33333,61034.5,47391.33333,20464.5,51800.25,94640.5,46040.25,39931.25,50813.75,38230.5,31846.5,24413,46516.75,30513,71063.75,43938.25,54048.5,55525.25,41275.25,50385,44204.75,29909.25,21086.75,40324.75,44170.25,Q13445;K7EIN4;K7EQ63,Q13445,TMED1,96
TMEM123,18199.25,78561.25,72541.5,64661,11368.5,92240.25,26496.5,13290.5,93911,17763.66667,93538.25,109972.75,106639.75,8384.333333,32478.5,114021.5,37677.33333,132528,22236,17557.25,17825.66667,40277,12856.75,50898.5,28099.75,46353.75,35814,33319.5,46479,12780.5,48625.25,72295.5,26832.5,18106.75,15563.75,22208.5,19865,35514.75,47130.5,69078,44110.5,44390,46784.5,Q8N131;E9PKT4;Q8N131-2,Q8N131,TMEM123,97
GPA33,4851,2908,2974.5,972.5,915.5,4612.75,1795.25,1167.25,3750.5,1048.666667,43650,154004,140463.5,1108,96620.5,3717.75,0,940.5,385,3081.5,11918.66667,278766,875,5593.75,6636,77908,0,15773.75,477.25,3026.25,4877,89584.75,446.75,19823.75,228.5,15654.25,494.5,35127.25,1945,4505,25926.5,41851.25,34720,Q99795,Q99795,GPA33,98
BTN3A3,9023,31449,9035.75,23731,963,16900,2654.75,4258.25,11255.5,7053,28243.75,44611.75,47694.75,23506.66667,71341,16626.5,24169.33333,107564.25,21280.33333,93628.75,31319.66667,82317.75,10622.75,27111,9223.75,68491.25,21338,81798.25,8890.25,44472,30036.25,74738,33287.25,102042.5,47892,143080,51343.25,129777.75,52512,109157.75,76081,69366.75,102112.25,O00478;O00478-2;C9JZT5,O00478,BTN3A3,99
SIGIRR,4155.75,3386.5,5612.75,3346.5,661.75,25453,3557,1797.75,18128,4586.333333,29832.75,67674.5,78518.5,6903.666667,45642.25,111394.25,16645.33333,87183.25,10330,103481.25,19529.66667,28736.25,1638,15951.25,7079,57540,1321.5,64535.75,4775.75,31695.5,11751,37738,6342.5,61809,11799.25,79716,6907,84572,6969.75,40840,35372.25,55025.25,33992.5,Q6IA17;Q6IA17-2;C9JFX4,Q6IA17,SIGIRR,100
CD83,67153.5,5804.75,197862,1854.25,4660,58037.75,0,224194.75,3786,10367.33333,1116.5,6562.75,834.75,0,15023,46032,796.3333333,0,4332.666667,0,0,0,97117.25,0,3963,8004.75,19263.25,31534.25,5668,0,0,1008,43686,28682.5,415.5,23140.5,6984.75,0,483,8160.25,0,0,0,Q01151;A0A087WX61,Q01151,CD83,101
SLAMF1,59432.25,995.5,189838.75,7734.5,14675,967.5,0,162122,401,22936.66667,16944,1052,31378.75,6228,30018,0,30642,1912.25,73991.33333,0,34840.66667,9824.25,9040.75,1688.25,44087.25,19336.25,79533,37041.5,55620.5,7137.5,26085.25,7861.75,66139.25,21200.5,49714.5,34708,6021,6614.75,19078,525.25,28193,22042.75,13028.25,Q13291;Q13291-2;Q13291-3;W0HKK7;Q96QJ2,Q13291,SLAMF1,102
CD40,36311.25,71396.75,59341.25,125019,28170,5299,5015,341532.5,3850,1264,1362.25,20146.25,12787.5,354.6666667,122,22183.75,613.3333333,1107.75,1182.666667,1752.75,4251.666667,405.25,63617,1938,11305,0,3131,203,751.75,375.25,263.25,159.75,186,0,1003,189.5,436.75,329.25,0,0,1142.5,380.5,256.75,P25942;A0A087X1D0;H0YE23;P25942-2,P25942,CD40,103
DLL4,0,0,0,0,0,0,0,264099.25,0,0,0,0,59.5,0,0,0,0,35.25,0,0,0,46.25,69.5,0,47.25,0,0,0,102.5,32.75,0,0,0,0,51.25,0,25.25,0,0,0,0,19.5,83.75,Q9NR61,Q9NR61,DLL4,104
SDC4,0,0,4283.5,0,0,0,0,250378.25,0,0,817.5,25645.25,21099.25,0,0,5073,0,438.5,6140,0,1637,0,691.75,0,3142,417,31666.5,0,6792.25,0,1603.75,0,2593.5,1630.75,12924.75,0,6506,0,2267.75,0,0,0,0,P31431;P31431-2,P31431,SDC4,105
IGSF8,5326.5,5892.25,11671,4256.75,1148,173.25,26974.25,356805.25,2479.5,7979,14658.75,5618,3369.5,2543,7079,2188.5,8902.666667,3901.5,3093.333333,5889.5,32308.33333,13919.25,3526,1426.5,16790,4119.25,11743,6005.75,20514.25,2786.25,15619,9564.75,16176.25,15601.5,10397.5,12807.75,7884.75,12478.25,17970,13224.75,4575.5,4915,5585.5,Q969P0;Q969P0-3;C9J8Z4,Q969P0,IGSF8,106
PVRL2,8344.25,30.75,5826.75,0,0,335.25,86,328755,1362.5,6301.333333,1284.25,337.25,46.25,0,76,416.75,0,144,4424.333333,54.5,3507.666667,25.5,1591.75,0,3460.5,480.5,7988,0,2531.75,47.25,2361.75,0,0,407.25,2003.25,722.25,2675.5,0,1441.25,478.5,449.5,561.75,594.75,Q92692;K7EKE8;Q92692-2,Q92692,PVRL2,107
CD274,1138.75,0,10327.5,0,0,886,670.25,229951.25,0,202998.3333,1561.5,0,0,0,0,0,585.3333333,0,5922.666667,0,855,0,52492.5,193.5,451.75,0,184.75,0,8550.5,86.75,0,0,769.25,0,1460.5,366,740,314.75,3072.75,0,456,0,0,Q9NZQ7;Q9NZQ7-3,Q9NZQ7,CD274,108
CSF2RA,5512.5,296.5,5896.5,0,2228,4922,11309.25,152924.75,40190,14866.66667,41696.5,44307.5,9913.5,4409.333333,2536.75,23724.25,1362,3347,4082.666667,1748,3024.333333,1700.75,6794.75,17555.5,3142.5,3974.5,5956,2294.25,12603,5369.75,2723.75,6035.5,6509,5384.75,1668,2515.25,908.5,2801.5,866.75,936,0,4289.5,3520.5,P15509;P15509-7;P15509-2;P15509-5;P15509-8;P15509-3;F2Z3C9;P15509-4,P15509,CSF2RA,109
LAMP3,0,0,0,47.75,0,0,0,178953.25,0,802.6666667,0,0,0,0,0,0,0,0,0,0,0,0,7653.5,0,0,0,0,0,1839.75,0,138.25,0,0,70,231.5,0,158,0,196.75,18.25,0,0,0,Q9UQV4;E7ETP9,Q9UQV4,LAMP3,110
NRP2,2378.75,0,945.25,0,0,0,279.75,120538.75,175.25,23587,0,615.25,628,266.6666667,542.25,0,154.6666667,78.5,213.6666667,45,1671.333333,105,750.75,297.25,3796.75,0,4292.75,0,2012.75,0,172.75,0,667.25,25.25,671.75,0,80.5,0,625.75,0,497.25,0,0,O60462-5;A0A024R412;O60462-4;O60462;A0A024R3W6;Q7LBX6;X5D2Q8;O60462-2;O60462-3;O60462-6,O60462,NRP2,111
PVR,1131.75,0,538.25,0,0,0,1287,124604.5,0,2711.333333,4130.75,0,807.5,0,0,0,1743.333333,0,6422.666667,622,629.3333333,0,0,0,2749.5,0,0,0,0,425.75,172.25,0,0,0,0,0,0,0,0,0,144.25,0,0,P15151;A0A0A0MSA9;A0A0C4DG49;P15151-3;P15151-2;P15151-4,P15151,PVR,112
KLRC1,0,0,0,0,3434.75,0,0,0,0,1039,5770.75,2619.75,0,0,0,7455,60344.66667,290088.5,31556.66667,8749.75,411,69.25,0,703.75,0,0,0,72.75,0,94.5,0,0,240.25,771.75,646.5,1071.75,425.25,1152.75,0,0,2529.5,0,0,P26715;P26715-2;F5GYZ0,P26715,KLRC1,113
IL18R1,3786,844.75,11825,1903,1971.5,4485.25,3427,4413.75,8666.5,0,891.25,242.75,0,2016,5110.5,40450.5,25340.33333,86037.25,21933.33333,7460.5,57057,2803.75,8789.75,42334.25,16716.25,3817.25,9051.25,11071.25,21914.75,2021.25,21738.5,287.5,2265,5269.25,3633.75,16416.75,4626,4786,12873.25,157.75,3418,7458.5,797,Q13478,Q13478,IL18R1,114
IL2RB,613.5,185,1325.5,331.25,0,2057.75,343,333,331,0,876.75,5417.5,1004,0,7672.5,0,51286,133498.25,94082.66667,34817.5,2324.666667,1373.75,0,447.5,5250.75,872.5,15305.5,1345,19694.5,2930.5,1349.5,323.75,16256.25,1727.75,17140,3370.25,8192.5,7598.25,6118,543.75,110.75,861,1506.5,P14784,P14784,IL2RB,115
KLRD1,0,0,0,913.5,0,0,0,0,0,0,0,0,0,0,0,0,25541.66667,136598.75,34815.66667,37328.25,0,0,0,0,0,0,0,0,0,0,1815.5,0,1858,1504.5,2190.75,10093,5085.5,13099.75,0,0,0,0,0,Q13241;F5H2B7;Q13241-3;Q13241-2;F5GX94;F6WZH4,Q13241,KLRD1,116
NCR1,0,3160.25,0,0,32058.5,0,0,0,7319.5,0,0,278.25,0,0,2422.75,4713,46099,136686.25,44445,27533.25,0,11896.5,0,353.5,0,2112,0,7388.25,0,1516.75,3958.75,2090.75,10140.25,2186.5,5679,2291,849.75,4502,0,599.75,210.75,4008.75,5472.25,M0QYD1;A0A0A0MTU0;A0A0A0MQZ0;A0A0A0MR94;O76036;O76036-6;O76036-2;O76036-5;O76036-3,O76036,NCR1,117
IGFLR1,11016.75,1719.75,0,386.5,0,19333,11374.25,42264.75,28953,10031.66667,18925,106988.75,41971.5,2702.333333,13321.25,17845.25,133999.3333,11954,160731,17414.5,4475.333333,3266.5,171039.75,152759.75,0,5709.5,13738,12702,11217,2020.25,10322.25,2673,18954,9717.5,30869,13429.5,54911.75,13030,13210.75,4290,4562.25,6988.75,7631.25,K7EL86;Q9H665;Q9H665-2,Q9H665,IGFLR1,118
TNFRSF18,33151,1810,24784.25,0,28748.25,0,5970,13085.25,111.25,1021.333333,435,8553.5,0,0,8294.75,0,262438.3333,25591.5,111056.3333,23657.25,3745.333333,37335.5,0,2328,21400,102.75,97768.5,467,14617.75,1195.5,2401.75,0,25877.75,191.25,20563.75,0,49256.5,1660.25,11860.25,0,2697.5,1603.75,263,Q9Y5U5;J3KT02;Q9Y5U5-3;Q9Y5U5-2,Q9Y5U5,TNFRSF18,119
CDH17,46,57.75,61,64.5,70,0,44.75,0,40,0,407,0,80.5,112.3333333,0,1325.75,305738.3333,28.75,1196,53.25,32.33333333,7.5,112.25,68.5,0,0,0,0,23.75,2.75,18.25,0,0,17,21,927.5,39,30.75,0,0,24,0,0,Q12864;E7EN24,Q12864,CDH17,120
NCR3,644.75,0,617.25,0,0,0,0,548.5,0,691.6666667,819,0,0,0,0,60.5,304943.6667,9162.25,138437.6667,4643,4466.666667,0,0,83.25,252.25,0,104.75,0,12.75,177,145.5,0,49,517,530.5,63.25,316.5,266,3082.5,120.75,282.25,0,0,O14931-3;O14931-2;O14931;O14931-6;O14931-5;O14931-4,O14931,NCR3,121
CD1C,10842.25,8177.25,3892.5,1590.25,0,0,0,48139.75,273190.25,0,695,1929.5,0,0,0,0,173,1229.75,192,0,0,0,0,296.75,0,0,0,0,0,61.5,0,0,23.75,0,0,49.5,0,0,99.75,0,0,0,19.75,P29017;H0Y6Y6,P29017,CD1C,122
CD207,0,0,271.75,0,215.25,111.75,0,1530.75,200731.25,0,125.5,0,0,0,166.5,6031.25,149,55,211.3333333,239.5,0,183.25,182.5,566.75,640.5,214.75,0,133.75,397,98.25,223.5,435.5,657,137.25,533.75,2041,171,594.5,442,142.5,0,114,197.5,Q9UJ71,Q9UJ71,CD207,123
CD19,82893.75,99361.5,197061.5,55574.75,3027,26.5,98.25,119.5,0,959.6666667,176.5,227,280.75,0,35,12811,514,0,950,0,201.3333333,0,0,114,0,0,322,72.25,480,238.25,228,0,343,95.5,524,0,521,16.75,474,34.25,62.75,0,113.25,P15391;P15391-2;A0A087WXJ7,P15391,CD19,124
NT5E,2652.5,59128.5,10240.5,114937.75,40.75,500,0,457.75,363.25,694.6666667,824.75,795.5,156.5,204,907,24397.25,118.3333333,133.75,451.6666667,66.75,756.6666667,255.5,92,0,140.75,1909,352.25,6702.25,1205,597,1500.5,690.5,1092.25,31319.5,899.25,22798.5,72,2884,4732.25,126424.5,1437.5,379.75,610.5,P21589;P21589-2,P21589,NT5E,125
CR2,3394.5,103990.75,3084.25,90809.5,94.5,26.25,572.75,373.75,866.5,6760.666667,1301,1764.25,944.5,6253.333333,36,8277.75,546,213.25,408.3333333,78.5,0,621.5,1774.75,97,151.5,337.75,513.5,0,730.25,6768.25,144.75,49,28908.75,64.25,1109.5,75.75,332.25,4.25,166.5,0,0,0,402.75,P20023;P20023-3;P20023-2;P20023-4;Q5SR47,P20023,CR2,126
BTLA,17328.75,41202.75,40962.75,62134.5,8332.75,829.75,1736.25,3576.5,3930.5,1699.333333,2392.75,11951.75,2712,997.6666667,1442,3522,2522.666667,3075.75,15180,1785.75,6070,2747,6172.25,18096.25,3387.5,7859.75,4094,8110.5,3685.75,22422.75,28195.25,13385.5,8048.25,7006.25,4801.5,4502.75,1032.75,4855.25,32545,6505.25,9178.25,13101.25,10286.25,Q7Z6A9;Q7Z6A9-2,Q7Z6A9,BTLA,127
TNFRSF13C,0,45450.25,0,42519.75,0,0,0,408.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,966,0,0,0,Q96RJ3;Q96RJ3-2,Q96RJ3,TNFRSF13C,128
CD72,26835.75,55116,83650.75,155467.75,180.5,240.25,0,513.75,7790.5,0,468,1477.75,0,1871.333333,6108.25,492.25,199.3333333,8227,1042.333333,635.25,239.3333333,6624.25,124,6808.75,460,1493.5,2351.25,152.25,1949.25,662.25,670.5,1809.25,815.5,4342.25,3298,591.5,502.5,3076.75,964.5,2904.5,8513.25,245.25,5146.5,P21854;A0A087X0Y7,P21854,CD72,129
PCDH17,25331.5,14955.5,34032.75,106560,6106.25,3716.75,112,31587.25,0,45908,470.75,0,0,2266.666667,3443,4806.5,55.33333333,4275,0,2523.5,5088.333333,8579.25,21353.5,1168.75,18256,0,2708.75,0,5830.5,3331.5,1413.75,0,247.5,0,3359.75,1868.75,691.75,4599.5,420.25,7328.5,93989.5,256.5,0,O14917;O14917-2,O14917,PCDH17,130
FCGR2B,13580,169739.25,9838,131168,5996.75,177620.25,13303.25,6804.75,130661,13115.66667,21937.25,15149.25,12316,8845.666667,74,6255.5,11249,1677.75,13795.33333,3235.5,0,180.5,0,1614.75,87.25,917.25,1470.75,871.25,3404.25,102.75,1509.5,1193.75,9803.75,26.25,10031.25,297.25,3413.75,606.25,6579.5,0,523.25,1931,1589.5,P31994;P31994-3;P31994-2,P31994,FCGR2B,131
PRNP,3841.75,3183.5,1404.25,4874.5,0,123249.5,1021.25,18152.25,15765.5,12154,1969,18493.5,17196.75,11422.66667,21675,0,38602.66667,8459.25,37583,14102.75,7933.666667,8100.25,4686.5,11504.75,13893.5,12070.75,22972.25,25081.5,14134.25,13174.75,4544.25,8373.5,7248.75,19577,15992.5,25167.75,7648.25,19571.25,7025.75,10264,13698.5,16251.5,19586.5,P04156;A2A2V1;P04156-2;X6RKS3,P04156,PRNP,132
ENPP3,29.25,1.75,52,2,2.5,206076.25,2,0,8,0,0,85.5,14.5,0,13,76.5,12,8.5,40.33333333,0,0,0,37.75,28.5,10,3,16.75,7,10,6.75,0,0,11.25,6,248,0,796.75,0,0,0.5,3.75,0,0,O14638;F8W6H5,O14638,ENPP3,133
FCER1A,0,0,0,0,0,121452,0,0,14669.5,0,557,0,0,0,0,0,0,0,0,0,0,0,0,3163.75,0,80.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265.25,0,0,P12319;E9PRN1,P12319,FCER1A,134
CD200R1,4194.25,909.25,2751.25,669.25,0,106052.5,46167.5,8662.5,25881.5,8764.333333,11458.25,23560.5,854.75,1462,2950.75,141498.5,1645,2365,1031,358.75,7004.666667,0,0,0,5240,4393.75,5382.5,17691.25,7392.5,587.5,518.75,1542.5,2847.5,6213,2868.25,2390.25,256123.5,868.5,2272.25,2487,1462,7601,9276,H9KV32;Q8TD46-4;Q8TD46,Q8TD46,CD200R1,135
KIR2DL3,0,0,0,0,0,0,0,2074,0,5223.666667,0,0,0,0,0,270281.75,2284.666667,0,3420,843.75,0,0,0,0,0,767.25,0,0,1968.75,0,0,0,0,2781.25,0,0,1032.25,2071.5,677,0,0,0,0,P43628;P43628-2,P43628,KIR2DL3,136
SIGLEC14,1170.5,0,0,0,0,194.75,0,0,3047.75,2684,10575,8064.75,8711,0,0,264912.75,0,0,0,144.25,0,154,0,157,0,0,0,0,0,173.5,0,0,0,160,416.5,0,0,0,0,0,0,0,0,Q08ET2,Q08ET2,SIGLEC14,137
LILRB3,4287.5,330,713.75,0,0,722.5,3363.5,4097,7455.75,40228,67764.25,51145.75,27862.75,0,807,248073.75,0,0,656,0,877,0,11296.75,146,5276,0,822,1143.5,2072.5,0,311.75,0,0,449.5,0,0,0,0,0,120.5,646.25,0,615.75,F8W6G6;O75022;O75022-3;O75022-2,O75022,LILRB3,138
PILRA,0,0,0,0,0,24840.25,5038.75,3163.75,2811.75,80546,45341.75,44684.5,80879,1358.666667,283.25,245442,0,4770,0,1307.75,0,0,0,0,0,0,0,1433,0,0,0,4601.25,0,0,0,0,0,0,0,0,0,3016.75,3516.75,Q9UKJ1;Q9UKJ1-3;Q9UKJ1-2;C9JJ79,Q9UKJ1,PILRA,139
CD46,16914,11689.25,9229.75,16126,7494.25,29113.25,34886.5,24888.5,8481.75,9374.333333,95209.25,80392.75,55883.75,4790,25321,272341.25,18054,24807.5,25148.33333,12774,12237,29898.5,13230,11535.75,11570,37936,37877,36522.25,29019.25,14766.75,22417,33740.25,13367.25,42094.5,33036,28663.5,29489.75,23800.5,22293.25,34461,28691.25,38043,32383.75,P15529;P15529-15;P15529-12;P15529-14;P15529-11;P15529-13;P15529-10;P15529-4;P15529-7;P15529-6;P15529-3;P15529-5;P15529-2;P15529-16,P15529,CD46,140
EMB,14566.75,9693.5,27671.5,7261.75,687.25,38455.75,27656,6107.25,23532,42783.66667,90629.25,19683.75,0,17175.33333,38532.5,190895,33419,24746.5,37430.66667,15374.5,25722.33333,9971.5,7493.25,26763.25,37305.75,12077.25,50553.75,17322.25,36847.5,11309.25,26475.5,15431.75,37362.75,22196.5,57481.5,29676.5,38574.25,19588.75,26640.75,8807.25,14708,18660.25,17337.25,Q6PCB8;Q6PCB8-2;D6RDX7,Q6PCB8,EMB,141
NPTN;DKFZp566H1924,22712.75,11454.5,19116,9701,5028.5,28999.25,21353.75,85091.5,65966,126362,46648.5,54062,49518,10860.33333,26238.25,133256.5,22008.33333,13671.75,39403,16250,13472.66667,17078.5,40145.25,47133.75,46207.75,14337.75,21526,17083.75,26544.5,24284.5,11933.75,12622.75,28849,15442.5,29242.75,19839,20597.75,18632.25,12563.25,3619.25,25446.25,14867.5,20746.5,Q9Y639;Q9Y639-1;Q9UFM8;Q9Y639-3;Q9Y639-4;Q9Y639-5;H3BU51,Q9Y639,NPTN,142
SLAMF6,29706.25,23522.75,31670.25,21151.5,7567,23418.25,24446.75,0,6736,155491.3333,29032,29415.25,7001,24469.33333,29726.5,191390.75,4521.666667,20518.5,9975.333333,33851.75,22961.66667,9848.25,5384.25,10015.75,34784.75,10476.25,30417.25,21789,25449.75,24940,19376.25,2056.5,39982.75,24452.25,23846.75,45140,21909.25,42330.25,22201.75,12854.5,21262.25,10831.75,14409.75,Q96DU3;Q96DU3-2;Q96DU3-3,Q96DU3,SLAMF6,143
ATP6AP2,12660.75,7692.75,14796.25,3063.25,12525.75,10021.5,9410.75,29563.5,26643,29853,69082,58422,54920.25,7828,11654,143862.25,20623.66667,15793.5,30039.33333,8658,28473,19357.75,24491.25,28152.75,23045,17287.25,26194.75,13759.5,32484.75,8619.75,16048.5,17397.25,17290.75,11832.5,16428.5,8407.5,15796,11828,20065.25,17020.75,8035.75,13242.75,11957.25,O75787;O75787-2;H0Y750;H7C3E1,O75787,ATP6AP2,144
GLIPR1,0,1109.25,0,1853.25,0,2851.25,5603.5,5009.25,53619,1981.333333,105233,69973.75,62604.25,0,15030.25,149884,23166.66667,3516.75,43868.66667,17611.75,0,5777.5,1622.75,45667.75,0,10215.5,0,20499.5,9386.25,9213,4379,1791.5,8357.75,18164.5,23519.25,25166.25,3404.25,20348.75,12715,1274.5,10653,19288,21268.25,P48060,P48060,GLIPR1,145
TMEM106B,11102.5,12698.75,15487.25,16221,17172,41351,38418.75,4385.5,3774,7841.666667,16539.75,66946.5,27372.25,6442,9456.25,133576.5,41814,25102,28415,10821.25,10213,12521.25,0,0,13559.75,7851.75,16016.75,10015,19718.25,7774.5,13932,14167.5,13228.5,17262.25,18763,18436.5,15740,16281.25,13008.75,12962,8790.75,8715.25,12336.25,Q9NUM4;C9JZ87;F2Z3N7,Q9NUM4,TMEM106B,146
ANTXR2,10123.75,2630.25,597.75,1468.25,20048.75,20850.5,19136.25,13818.75,17331.5,39444.66667,14133,43128.25,34265,8131.333333,25502.25,130236.25,2936.666667,1689,10187,2643.75,6648.666667,7483.75,23273.5,95015.25,8116.5,5839,10031.75,13023.75,17627.5,6859.75,4182.75,2181.5,2602,4910.25,4694.75,4901.25,3173.25,3105.25,0,1199,4091.5,6994.75,6492.25,P58335-4;P58335;J3KPY9;P58335-2;P58335-3;A0A0C4DG84,P58335,ANTXR2,147
ZMYM6NB,0,1597.5,0,2635,0,7987.25,0,2729,8527.75,0,13213.75,12460.25,44446,0,10384,150755.5,5133.333333,7496.5,7920.666667,7269.5,11120.66667,8502,7626.25,34709.25,13635.25,22508,11291,18563.75,7695.25,4772,15088,15903.5,15324.75,14770.5,10207.25,13846.5,10468,10792.25,10402.5,10911.75,12655.5,15337,13216.25,Q8NCS4,Q8NCS4,TM35B,148
