Gene.names,B.memory_activated,B.memory_steady.state,B.naive_activated,B.naive_steady.state,B.plasma_steady.state,Basophil_steady.state,Eosinophil_steady.state,mDC_activated,mDC_steady.state,MO.classical_activated,MO.classical_steady.state,MO.intermediate_steady.state,MO.nonclassical_steady.state,mTregs_activated,mTregs_steady.state,Neutrophil_steady.state,NK.bright_activated,NK.bright_steady.state,NK.dim_activated,NK.dim_steady.state,nTregs_activated,nTregs_steady.state,pDC_activated,pDC_steady.state,T4.CM_activated,T4.CM_steady.state,T4.EM_activated,T4.EM_steady.state,T4.EMRA_activated,T4.EMRA_steady.state,T4.naive_activated,T4.naive_steady.state,T8.CM_activated,T8.CM_steady.state,T8.EM_activated,T8.EM_steady.state,T8.EMRA_activated,T8.EMRA_steady.state,T8.naive_activated,T8.naive_steady.state,Th1_steady.state,Th17_steady.state,Th2_steady.state,Majority.protein.IDs,Uniprot,Symbol,hclust_order
ADAM17,5009.5,6410.75,4083.75,1593.5,0,0,3091.75,17026.5,7776.25,16230,29355.25,30639.5,23965.5,745.3333333,1086.75,4557,10251,8497.25,6803,3672.5,9688.666667,789,8868.5,15614,4824.5,1034.75,3563.75,3903.5,4214,3473,2076,139.5,3097.75,2886.75,4281.75,5385.25,2266.75,3245,3568,1369.75,2525.25,1620,400.25,P78536;P78536-2,P78536,ADAM17,432
GPR107,11271.75,1102.75,13576.25,1708.25,0,220,2651.75,11963.5,4701.5,16584.66667,14030.5,20076.5,15775,1663,2274.75,6435,10828.66667,3458.5,13942.66667,1832.75,5793.333333,203.5,8115,7235.25,6164.75,2101.5,8921.5,2371.5,8756.5,1728.5,6528.25,1969.5,6622,2065.5,4955,3118,7390.25,3752.75,5576,1227.25,1894.25,1453.75,2037.5,G5E994;Q5VW38;Q5VW38-2;Q5VW38-3,Q5VW38,GP107,433
TMEM87B,9476.75,3290,8370,2971.25,3282.25,2369.75,0,5919.25,8977.25,8271,17137.25,18680,27825.75,0,1884.5,9521.25,3332.666667,2886.75,2387,1758,4174.333333,2036.75,4684.25,8044.75,3733.25,3798.25,1778.5,1358.75,1738.75,2912.75,2122.25,752.25,3595.25,3063.25,4113.25,3074.25,2409,2370,5352.75,1865.75,2327.75,3142.75,4380.75,Q96K49-2;Q96K49;H7C1G1;H7C0B3,Q96K49,TM87B,434
CLSTN3,5091.25,0,2542,0,0,234.75,13424.75,0,0,0,1134.75,36616.5,360.75,0,390.5,0,7840,3841,4751.666667,1085.75,1238.666667,0,0,7454.5,0,510.5,3997.75,0,0,0,0,1775.75,284.5,1371.5,0,0,1032.25,1408.75,1457.75,223,0,0,0,Q9BQT9;Q9BQT9-2,Q9BQT9,CLSTN3,435
TNFSF13;TNFSF12,2735.25,1008.25,0,381.25,0,17365.5,5312,9370,1023,1814.666667,7051,39495.25,23562.75,0,0,979.5,0,0,0,0,0,66.25,1375.25,3371.75,24870.25,0,0,0,774,0,0,0,0,0,0,0,0,0,0,438.5,0,0,0,O75888;Q2QBA2;A0A0A6YY99;O75888-4;O75888-2;O75888-3;O43508-2;C9JF68;O75888-5,O43508,TNFSF12,436
SEMA4B,2973.25,730.75,3441.5,286.25,213.75,150.25,680,19678.25,36.25,3024.333333,333.75,3696,1091.75,15879.33333,260,4676.25,0,3.25,35.66666667,36,214,0,34959.75,0,22720.25,0,144.25,86.5,183.5,36,162.25,0,2055,458.25,706.25,598.75,141.5,1063.75,1382.75,389.5,0,24.5,0,J3KNP4;Q9NPR2-2;Q9NPR2;H0YMZ3,Q9NPR2,SEMA4B,437
CD86,1283.5,0,5056.25,320.5,957.25,231,0,41691.5,9319,4262.666667,6498.75,27708,15215.75,0,0,0,2543.666667,0,7130.666667,0,0,0,4366.5,525.25,3489.5,0,2360.5,0,3270.75,0,0,0,205,0,2109.5,0,451,0,0,79.5,0,0,0,P42081;P42081-6;P42081-3;P42081-4;H7C4F8;P42081-2;P42081-5,P42081,CD86,438
MPZL1,13438.5,4082.25,16407.25,0,0,0,3267.75,29169.25,10184.75,4444,22829.5,5892,17226.75,0,1468.75,0,11057.33333,3485.25,11886,3254,10043.33333,0,5493.25,5805.5,7323,0,1787,0,19983,2422.5,832.75,0,4642.25,694.5,10133.75,0,8172,0,1486.25,0,1913,0,0,O95297;O95297-4;O95297-2;O95297-3;Q9UEL6,O95297,MPZL1,439
THY1,0,2393.75,0,1826.75,0,3581.5,1962.5,1091.75,13414,0,0,0,0,0,1315.25,23971.75,0,0,3064.666667,0,0,2098.5,0,3251.5,7924.75,9501.75,59923.5,344,0,0,0,0,28176.5,0,21171.5,0,0,1753.75,1470.5,2969,0,9765.25,3013.75,E9PNQ8;P04216;E9PIM6;J3QRJ3,P04216,THY1,440
CD200,6486,7628,14226.75,5819.25,1387,376.75,1585.5,19123,2594.75,0,0,8873.5,26077,0,9269.75,0,7933.666667,30251.5,2369,3044.25,20309.66667,2680.75,5654,10438.5,9871.5,1454.5,12378.25,1521.75,8217.25,169,16257.25,534,13066,6632,6145,0,4433.25,12993.5,28734,3017.25,5753.5,2825.75,153.75,P41217;U3KQG5;P41217-2;P41217-3;F8W7G1,P41217,CD200,441
