Interaction,B + B,B + M14,B + M16,B + DC,B + T4,B + T8,B + NK,M14 + B,M14 + M14,M14 + M16,M14 + DC,M14 + T4,M14 + T8,M14 + NK,M16 + B,M16 + M14,M16 + M16,M16 + DC,M16 + T4,M16 + T8,M16 + NK,DC + B,DC + M14,DC + M16,DC + DC,DC + T4,DC + T8,DC + NK,T4 + B,T4 + M14,T4 + M16,T4 + DC,T4 + T4,T4 + T8,T4 + NK,T8 + B,T8 + M14,T8 + M16,T8 + DC,T8 + T4,T8 + T8,T8 + NK,NK + B,NK + M14,NK + M16,NK + DC,NK + T4,NK + T8,NK + NK,Pair_label
Q6GTX8 + Q8NHJ6,0.18564536653946107,0.10258551786296266,0.11677441024187374,0.08265515084212893,0.041930680022119304,0.07896331065069262,0.16382391452373213,13.042946693822842,7.1522859619987,8.152740011588094,5.751368458529782,2.905452677731205,5.492440679832043,11.48766344152034,5.9320576392415205,3.2667097490715378,3.7208426696188326,2.6297056001604915,1.331510033952668,2.5118264887626083,5.230266224985485,67.09215685186791,35.68130012457493,40.888801009891154,28.478245351309738,14.166590348311615,27.158321942129533,58.62528823566845,1.1290204275474025,0.6235298384355019,0.7098446296349721,0.5023160825905961,0.25474307565127674,0.4798665107225588,0.9961698761073876,0.8088015766445551,0.44676698071998544,0.5085949655890545,0.35993379328169794,0.18255522386641587,0.3438508276896073,0.7136651576757913,0.7972939775504528,0.4404134452031485,0.5013615401902598,0.35481576243444124,0.1799600945283828,0.33896160126641917,0.7035123728064718,LAIR1 + LILRB4
P08648 + P29965,1.008853681045438,0.7839674713215294,0.0,0.0,1.039195552711572,0.9622421141644559,0.0,10.111449951845401,2.632351955628323,0.0,0.0,16.181966589279057,6.438902849412173,0.0,9.762638498525751,2.569839088243153,0.0,0.0,15.352652618657917,6.256259342746215,0.0,10.105173394943861,2.6308740762843144,0.0,0.0,16.171026597423364,6.435100681913738,0.0,9.814789498456026,2.577256248495223,0.0,0.0,15.509642697990646,6.280450974584234,0.0,9.93604667552599,2.596697425888351,0.0,0.0,15.826629181178529,6.3404825618549765,0.0,10.04847634850833,2.618281136144496,0.0,0.0,16.066675471545967,6.401761678788688,0.0,CD40LG + ITGA5B1
P26842 + P32970,10.02248112504759,9.891628781939213,4.446855558139562,11.969862114259778,11.26223037401102,8.261644128131705,5.141272684862789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11441657109173331,0.11441582698235031,0.1143450649952622,0.11442570478169056,0.11442275473294128,0.1144045558468374,0.11436260961048017,10.024432608158051,9.893542058653608,4.447526417387195,11.972446122363763,11.26456975493339,8.263119663423865,5.142071198424972,10.02434113455081,9.893451924435482,4.447488476528193,11.972334210213887,11.264465380619626,8.263045867265262,5.142026968650612,5.583390389739138,5.583206939205156,4.429242333773674,5.585234395788274,5.584710228090996,5.579431658294031,5.092794726808196,CD27 + CD70
P07359 + P11215,0.4434786390399523,1.1118374015234167,1.0571523018770677,0.8108076652675607,0.18151570951062013,1.0054276339308217,1.1295061086293572,11.617876398124793,32.28157179429263,30.64203653033917,22.959090541237316,4.406427321346968,29.06243609931363,32.80374595580906,31.13643426403965,111.57970217023308,105.4174482403181,73.70451655282375,10.549393275840146,99.1878100368778,113.46925032594754,0.9231415402377365,2.3236009071144963,2.2091742065548488,1.6929074559466812,0.37655610223585256,2.100865227815291,2.3605516295001507,0.6252940441218016,1.5700185737989614,1.4927619102736571,1.1445333011582193,0.2556019743292097,1.4196679942794503,1.5949749147630428,0.08910937068495173,0.22275507186691357,0.21180893924179145,0.16255499734117507,0.03656465152758415,0.20146077577351207,0.22629319209727328,0.30018097113909903,0.7516911957009142,0.7147332928417427,0.548322527908681,0.12298942627712961,0.6797835157593113,0.7636342233272444,GP1BA + ITGAMB2
Q9H3S1 + Q9Y4D7,0.6827426557875871,8.908768418177651,6.836983616136071,6.516181634716764,1.9466819190567843,4.781527944283122,6.019798956970549,0.6835962697904137,9.95280917675305,6.906836332760842,6.571269182047124,1.9499151089336841,4.799961844908908,6.059051672388936,0.6861374585521958,10.31491077368932,6.979530376934839,6.634968841736249,1.958404821074975,4.832284889303896,6.111344208751763,0.6865697001030711,10.324705293764183,6.985217667258972,6.640294444058661,1.95970071567735,4.835876473552958,6.116139532428214,0.6807311073123383,6.418688231523537,6.124392964378335,6.002008938256525,1.9381441358966334,4.698759076754217,5.724598654221753,0.6840018912617385,10.127413646903618,6.926715008868943,6.5879458919960605,1.9513791965844618,4.806936773057683,6.071922449138068,0.6390116075752696,1.3516236902566474,1.3468459513297995,1.346013933629877,1.2619551050812832,1.3390472225130345,1.3445231775031714,PLXND1 + SEMA4A
P15151 + P40200,0.0,0.8356280482867069,0.5762883419086211,0.0,0.11048008492650896,0.0,0.7933930183244973,0.0,2.397597543902595,0.8875870451244208,0.0,0.13113879274770834,0.0,2.023265593597844,0.0,3.216368612284919,0.9274672906310166,0.0,0.1345049914453429,0.0,2.374159162060772,0.0,4.665615984252116,0.9913158763716545,0.0,0.14140701810268475,0.0,2.7451240245639124,0.0,4.703057041074372,0.9969177645533165,0.0,0.1421502901500844,0.0,2.763310732428561,0.0,4.706650318876296,0.9975209494160033,0.0,0.14223208993839265,0.0,2.7651730171090847,0.0,4.694818026978693,0.9955820711999763,0.0,0.14197039983437243,0.0,2.7591223488659793,CD96 + PVR
Q92478 + Q9NZS2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07252043313771495,0.10236914757550153,0.1338597597610729,0.20749787078474213,0.10248186506720458,0.20015468011250448,0.2474365530710898,2.065312141519243,3.061743686110031,4.209362864141454,7.224929068405913,3.0656759356655634,6.908745135603496,8.964408079981197,2.1141090128762094,3.1377701943719245,4.319665326679729,7.437912275245161,3.1418146340427278,7.110296281439865,9.241574700602769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.364636661335229,5.138525414323727,7.325344919750481,13.888276804924324,5.145746241378802,13.145911696613709,18.124900105885928,3.8585804882376493,5.952294676142081,8.600023148519735,17.071759123422027,5.960911742948515,16.071310316302522,22.95666678717371,CLEC2B + KLRF1
P30511 + P43630,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HLAF + KIR3DL2
P09326 + Q9BZW8,0.5539580798391626,0.5447937576054187,0.5485826529254609,0.552192051426573,0.5563838251421203,0.5578723883811563,0.5578511389151117,7.5725365496122095,7.445420158829052,7.498113120492803,7.548129333250131,7.605990897075117,7.626479550677686,7.626187290829648,17.721977342011428,17.41808445046155,17.544540761365113,17.66393938027386,17.801284282874803,17.84971432693328,17.849024251136825,12.565651348993242,12.352502845999197,12.441024819374036,12.524832475479798,12.621516453983304,12.655681714801858,12.655194626216826,2.509553185781101,2.4678681001483938,2.4851149195016546,2.501528282198592,2.520569434110371,2.527325852023978,2.5272294231940577,35.622963366728754,34.9883632395472,35.25426965408144,35.50293780528125,35.78607104922526,35.88516020493353,35.88375104214265,91.64183345069182,89.79305802405042,90.58573232205498,91.30344788740683,92.09340883846585,92.36314283906177,92.35933109231519,CD244 + CD48
P26718 + Q9BZM4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.338006069408603,0.0,0.0,0.0,0.0,0.0,0.0,16.904602111814313,0.0,0.0,0.0,0.0,0.0,0.0,15.488536244886468,0.0,0.0,0.0,0.0,0.0,KLRK1 + ULBP3
